peak_index,row,col,value,quality_score,valid_ratio,local_contrast,x,y
37,108,69,699.8690185546875,2.219660751223422,1,2.219660751223422,129.64979008164585,-27.300097609986388
38,103,102,651.271240234375,2.1904350181828063,1,2.1904350181828063,130.1999208533125,-27.216721315541946
39,86,62,893.7464990234369,2.174458299370043,1,2.174458299370043,129.53309567553472,-26.933241914430834
40,72,76,789.7251586914062,2.1611222540726915,1,2.1611222540726915,129.76648448775694,-26.699788289986387
41,114,125,539.1786499023438,2.1075342417440406,1,2.1075342417440406,130.58334533053474,-27.40014916331972
42,66,66,723.8634643554688,2.070430847461849,1,2.070430847461849,129.59977819331252,-26.599736736653057
43,105,72,666.9395141601562,1.971161922519039,1,1.971161922519039,129.69980196997918,-27.250071833319723
44,83,71,801.7081298828125,1.9603059170305,1,1.9603059170305,129.68313134053471,-26.883216137764165
45,79,85,750.7153930664062,1.9433621446459113,1,1.9433621446459113,129.91652015275696,-26.816515102208612
46,109,78,569.7251586914062,1.919855440642052,1,1.919855440642052,129.79982574664584,-27.316772868875276
47,94,88,724.3912353515625,1.8978416513091467,1,1.8978416513091467,129.9665320410903,-27.066643985541944
48,53,62,456.7037353515625,1.8836422534151045,1,1.8836422534151045,129.53309567553472,-26.3829583710975
49,107,86,551.4210205078125,1.8529891519774886,1,1.8529891519774886,129.9331907822014,-27.2834223510975
50,50,81,428.9555969238281,1.8101078713487424,1,1.8101078713487424,129.84983763497917,-26.332932594430833
51,62,129,610.847900390625,1.806646418821987,1,1.806646418821987,130.6500278483125,-26.5330357010975
52,108,83,524.8004150390625,1.7942506700067054,1,1.7942506700067054,129.88317889386806,-27.300097609986388
53,56,77,488.77081298828125,1.7166746174802001,1,1.7166746174802001,129.7831551172014,-26.432984147764166
54,63,73,564.6705322265625,1.6800653752311177,1,1.6800653752311177,129.7164725994236,-26.54971095998639
55,110,73,498.9011535644531,1.6712986802064727,1,1.6712986802064727,129.7164725994236,-27.333448127764168
56,75,68,658.0953369140625,1.6365007262717286,1,1.6365007262717286,129.63311945220138,-26.749814066653055
